question,document
Can I still join the course if I just found out about it?,74eb249bbf
Is it too late to start the course now?,74eb249bbf
"If I join late, can I still get a certificate?",74eb249bbf
What do I need to do to qualify for the certificate if I join now?,74eb249bbf
Does the course still accept project submissions for certificates?,74eb249bbf
I signed up for LLM Zoomcamp but still haven't got any confirmation email. Is that normal?,977bf7786c
Do I actually need to wait for an acceptance email before starting the course and submitting homework?,977bf7786c
"If I already registered, does that mean I'm officially approved or is there another check somewhere?",977bf7786c
Can I begin the LLM Zoomcamp lessons and homework even if I never filled out the registration form?,977bf7786c
What is registration for in this course if it doesn't seem to affect access or homework submission?,977bf7786c
How do I join the Office Hours or live workshop if the Zoom link is only for instructors and TAs?,489dd1c9d9
Where is the live stream URL for workshop sessions usually shared before they start?,489dd1c9d9
"Can I watch the Office Hours on YouTube instead of using Zoom, and where do I find it?",489dd1c9d9
What should students use to ask questions during live sessions if they should not post in chat?,489dd1c9d9
"Is the Zoom meeting link for the live sessions available to students, or only to presenters and staff?",489dd1c9d9
What should I read first if I want to begin the LLM Zoomcamp and not miss anything important?,04919992b3
"Can I join the course at any time, or do I need to wait for a specific start date?",04919992b3
What is the usual weekly process for going through a lesson and doing the homework?,04919992b3
"Where do I find the videos, notebooks, homework instructions, and deadlines for the course?",04919992b3
"Is the homework the same as the lesson exercises, or does it use different data and tasks?",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name there?,c2903069a0
"Why do I have a random display name on the course leaderboard, and can I change it?",c2903069a0
Where can I check what my current display name is in the course profile?,c2903069a0
"If I want my certificate to show my real name instead of the default nickname, what should I edit?",c2903069a0
Can I use a Slack or GitHub username as my public name in the course profile?,c2903069a0
"Can I take this course on my own pace and still get the certificate, or is it only for the live group?",69d122f12e
"If I do the course later by myself, will I miss out on the certificate completely?",69d122f12e
Why can’t self-paced students get a certificate at the end?,69d122f12e
Do I need to be in the running cohort to do the peer reviews required for certification?,69d122f12e
"Is the certificate available only when the course is active, not after it closes?",69d122f12e
"If I skip the first homework, can I still earn the certificate for the course?",9f689c185f
"Do I have to do all the homework to get certified, or is the capstone enough?",9f689c185f
"Is homework required for the certificate, or only the final capstone project?",9f689c185f
I missed one homework assignment. Will that stop me from getting the certificate?,9f689c185f
What do I actually need to pass to get the course certificate if homework is optional?,9f689c185f
Why does the homework content keep changing before the deadline?,96286b4be4
What does [DRAFT] mean in the homework title?,96286b4be4
How can I tell when a homework assignment is actually ready?,96286b4be4
Is it safe to start working on homework if it still says [DRAFT]?,96286b4be4
Can the homework details change even after I see it on the platform?,96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know when the next course run starts?,bd31146b0e
Is there a date for the next offering of this course?,bd31146b0e
When can I take this course again next time?,bd31146b0e
Will this course be available in Summer 2027?,bd31146b0e
Where can I find the course videos for each lesson?,31456f4b5f
Is there a main place I should start if I want the lectures and materials?,31456f4b5f
Do the lesson pages link to the videos somewhere at the top?,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to find the latest lectures?,31456f4b5f
How do I find the relevant video for a specific lesson in LLM Zoomcamp?,31456f4b5f
"Where do I check the LLM Zoomcamp syllabus, deadlines, homework, and my progress in one place?",20c5a1347e
Is there a course platform for following the current cohort structure and assignments?,20c5a1347e
How do I keep track of homework and deadlines for LLM Zoomcamp?,20c5a1347e
What website should I use to monitor my progress in the zoomcamp?,20c5a1347e
Is the LLM Zoomcamp management page the same kind of system used in other DataTalks.Club Zoomcamps?,20c5a1347e
"Does the course have live sessions or office hours for every module, or is everything pre-recorded?",d65e05bd7a
"If there are no regular live classes, how do we get help when we are stuck on a module?",d65e05bd7a
"Where can I find the module materials for the course, and are they available ahead of time?",d65e05bd7a
"Are live sessions for this course scheduled in advance, or only announced when they happen?",d65e05bd7a
Is there any optional paid support with Zoom office hours if I want extra guidance?,d65e05bd7a
Can I count my Bluesky posts toward learning in public credits?,dbf5369006
Do Bluesky posts qualify for the learning in public requirement?,dbf5369006
Is it okay to use Bluesky for learning in public credits in this course?,dbf5369006
Will Bluesky activity be accepted as learning in public credit evidence?,dbf5369006
Are Bluesky posts valid for the learning in public credits?,dbf5369006
What’s the Telegram link for LLM Zoomcamp?,054f3fd58f
Where do I join the LLM Zoomcamp Telegram channel?,054f3fd58f
Is there a Telegram group for course announcements in LLM Zoomcamp?,054f3fd58f
Can you share the Telegram channel for LLM Zoomcamp updates?,054f3fd58f
Should I use Telegram or Slack for LLM Zoomcamp questions?,054f3fd58f
"Why is my FAQ data count different from the videos, even when I run the same code?",e2d595f23c
Did the number of records in the live FAQ dataset change after the course video was recorded?,e2d595f23c
Why do I get more or fewer FAQ rows than the ones shown in the lesson?,e2d595f23c
"Is the FAQ dataset in this course updated over time, or is it fixed?",e2d595f23c
What explains the mismatch between the FAQ dataset size in the video and what I see now?,e2d595f23c
Can I still hand in homework if the deadline already passed but the form is still open?,a9353fadfe
Is it okay to submit after the deadline when the submission page hasn’t closed yet?,a9353fadfe
Does the deadline matter if I can still access the homework form?,a9353fadfe
"When is homework submission actually blocked, after the deadline or only after the form closes?",a9353fadfe
"If the assignment page is still open past the deadline, can I keep sending my answers?",a9353fadfe
Can I still turn in homework if the deadline already passed but the form is open?,cdc3b285e5
Do you ever give deadline extensions for homework in this course?,cdc3b285e5
"What happens if I miss a homework submission entirely, does it hurt my certificate?",cdc3b285e5
Are late homework submissions accepted after the form closes?,cdc3b285e5
Does homework affect the course certificate or only the leaderboard?,cdc3b285e5
"If I enter my real name for the certificate, will it be visible on the leaderboard or anywhere public?",651ba06b34
"Does the name on the certificate get shared with anyone outside the course, or is it private?",651ba06b34
What’s the difference between the leaderboard nickname and the certificate name in Edit Course Profile?,651ba06b34
Can I use a random display name publicly and still have my legal name printed only on the certificate?,651ba06b34
"Will other people be able to see the name I typed for the certificate, or is it separate from the public profile?",651ba06b34
Why doesn't this course start with LangChain for building LLM apps?,b7cdde6b25
"What is the reason we build prompting, retrieval, indexing, and evaluation by hand before using a framework?",b7cdde6b25
Is there a benefit to learning the basics first instead of jumping straight into LangChain or similar tools?,b7cdde6b25
How does this course approach LLM app development compared to using a ready-made framework?,b7cdde6b25
