question,answer_llm,answer_orig,document
Can I still join the course if I just found out about it?,"Yes, you can still join the course. If you want a certificate, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it too late to start the course now?,"No — you can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed on the course management platform.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join late, can I still get a certificate?","Yes, but only if you join while the course is still running and submit your project before submissions close. To get a certificate, you need to finish with a live cohort and pass the Capstone project.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to qualify for the certificate if I join now?,"To qualify for the certificate if you join now, you need to:

- **Submit your Capstone project while submissions are still open**
- **Pass the Capstone project**
- **Participate in peer-review of 3 peers in your cohort**

Also, you can only get the certificate if you’re in the **live cohort**, not self-paced.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Does the course still accept project submissions for certificates?,"Yes — as long as the submission form is still open, you can submit your project for a certificate. Once the form is closed, you can no longer submit.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I signed up for LLM Zoomcamp but still haven't got any confirmation email. Is that normal?,"Yes, that’s normal. You’re accepted, and you don’t need a confirmation email to start. Registration is just to gauge interest, and it isn’t checked against a registered list.

You can already start learning and submit homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need to wait for an acceptance email before starting the course and submitting homework?,"No—you don’t need to wait for an acceptance email. You’re accepted already, and you can start learning and submitting homework as long as the form is open. Registration is only to gauge interest, and it is not checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I already registered, does that mean I'm officially approved or is there another check somewhere?","Yes — if you already registered, you’re accepted. There’s no separate approval check, and it’s not matched against a registered list. You can just start learning and submit homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I begin the LLM Zoomcamp lessons and homework even if I never filled out the registration form?,"Yes — you can start the LLM Zoomcamp lessons and submit homework even if you never filled out the registration form. Registration was only to gauge interest, and it is not checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What is registration for in this course if it doesn't seem to affect access or homework submission?,"Registration is just to gauge interest before the start date. You don’t need a confirmation email, and it isn’t checked against a registered list. You can just start learning and submit homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do I join the Office Hours or live workshop if the Zoom link is only for instructors and TAs?,"You don’t join through the instructor Zoom link.

For Office Hours or live/workshop sessions:
- Watch via **YouTube Live** on the DataTalksClub channel
- Follow the **announcement channel on Telegram/Slack** for the video URL before it starts
- Ask questions in **Slido** (the link is pinned in chat when live)

Also, don’t post questions in the live chat, since they may be missed if the room is busy.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where is the live stream URL for workshop sessions usually shared before they start?,The live stream URL is usually posted in the announcements channel on Telegram and Slack before the session starts. It can also be watched live on the DataTalksClub YouTube channel.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I watch the Office Hours on YouTube instead of using Zoom, and where do I find it?","Yes — you can watch the Office Hours on YouTube Live instead of Zoom.

Where to find it:
- The video URL is posted in the **announcements channel on Telegram and Slack** before it starts.
- You can also watch live on the **DataTalksClub YouTube Channel**: https://www.youtube.com/c/DataTalksClub

Students ask questions via **Slido** during the live session.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What should students use to ask questions during live sessions if they should not post in chat?,Students should use **Slido** to submit questions during live sessions.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is the Zoom meeting link for the live sessions available to students, or only to presenters and staff?","The Zoom meeting link is **only published to instructors/presenters/TAs**, not to students. Students join via **YouTube Live** and ask questions through **Slido**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
