question,filename
"What is a retrieval-augmented generation system doing for the model, in simple terms?",01-agentic-rag/lessons/01-intro.md
"Why do LLMs sometimes give bad answers, and what limits do they have?",01-agentic-rag/lessons/01-intro.md
How does the course’s FAQ bot use RAG to answer student questions?,01-agentic-rag/lessons/01-intro.md
What gets built in the first part of this module before making the system agentic?,01-agentic-rag/lessons/01-intro.md
What changes in the second part when the pipeline becomes agentic?,01-agentic-rag/lessons/01-intro.md
"What do I need installed before starting this module, besides Python and Jupyter?",01-agentic-rag/lessons/02-environment.md
How do I set up a new project with uv and which packages should I add for this course?,01-agentic-rag/lessons/02-environment.md
What is the recommended way to store my OpenAI key so I don't commit it by mistake?,01-agentic-rag/lessons/02-environment.md
How do I verify that the OpenAI client is working in a Jupyter notebook?,01-agentic-rag/lessons/02-environment.md
"If I want to use Groq or another OpenAI-style API, how should I configure the client and environment variables?",01-agentic-rag/lessons/02-environment.md
Why doesn’t a normal LLM answer our course FAQ questions well on its own?,01-agentic-rag/lessons/03-rag.md
"What does RAG stand for, and what are the two main parts of it?",01-agentic-rag/lessons/03-rag.md
How do you make an LLM answer using FAQ info instead of guessing from general knowledge?,01-agentic-rag/lessons/03-rag.md
What should the bot do if it can’t find the answer in the retrieved context?,01-agentic-rag/lessons/03-rag.md
"What are the three pieces in a basic RAG system, and why is search so important?",01-agentic-rag/lessons/03-rag.md
"Where does the FAQ data come from, and how do you download it in Python?",01-agentic-rag/lessons/04-dataset.md
What information does each FAQ record include?,01-agentic-rag/lessons/04-dataset.md
Why do we use the course slug when searching the FAQ entries?,01-agentic-rag/lessons/04-dataset.md
How is this FAQ dataset used inside the RAG pipeline?,01-agentic-rag/lessons/04-dataset.md
Do you usually need to do a lot of data cleaning before building a RAG system?,01-agentic-rag/lessons/04-dataset.md
How does a basic search engine decide which documents to show first?,01-agentic-rag/lessons/05-search.md
Why would keyword search miss two questions that mean the same thing?,01-agentic-rag/lessons/05-search.md
"What is minsearch, and why use it instead of Elasticsearch for this lesson?",01-agentic-rag/lessons/05-search.md
"Which document fields are searched as normal text, and which one is used for exact course filtering?",01-agentic-rag/lessons/05-search.md
How do boosting and course filters change the search results in the example code?,01-agentic-rag/lessons/05-search.md
Why do we need to include the search results in the prompt for the LLM?,01-agentic-rag/lessons/06-building-prompt.md
What is the difference between the instructions part of a prompt and the user prompt?,01-agentic-rag/lessons/06-building-prompt.md
How does the lesson suggest handling cases where the answer is not in the retrieved context?,01-agentic-rag/lessons/06-building-prompt.md
What information goes into the context string before it is sent to the LLM?,01-agentic-rag/lessons/06-building-prompt.md
Why does the lesson say a good prompt is important for reducing hallucinations?,01-agentic-rag/lessons/06-building-prompt.md
How do you send the built prompt to the model in this RAG setup?,01-agentic-rag/lessons/07-llm.md
What part of the OpenAI response should I read to get just the generated answer?,01-agentic-rag/lessons/07-llm.md
How do you estimate the cost of one LLM request from the token counts?,01-agentic-rag/lessons/07-llm.md
Why does this lesson use a message history with separate instruction and user messages?,01-agentic-rag/lessons/07-llm.md
